"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2018","32,750","32,950","33,500","32,600","1.05M","-1.06%"
"Dec 24, 2018","33,100","33,450","33,600","32,800","940.82K","-1.05%"
"Dec 21, 2018","33,450","34,350","34,350","33,150","1.72M","-2.62%"
"Dec 20, 2018","34,350","34,200","34,500","33,500","1.57M","0.59%"
"Dec 19, 2018","34,150","33,400","34,250","33,400","1.76M","2.55%"
"Dec 18, 2018","33,300","33,300","33,700","33,100","1.55M","1.06%"
"Dec 17, 2018","32,950","32,800","33,200","32,300","1.45M","1.07%"
"Dec 14, 2018","32,600","32,000","32,800","31,750","1.44M","1.56%"
"Dec 13, 2018","32,100","32,150","32,850","32,050","2.26M","0.31%"
"Dec 12, 2018","32,000","32,800","32,800","31,750","1.98M","-1.84%"
"Dec 11, 2018","32,600","32,150","32,900","32,050","2.24M","1.56%"
"Dec 10, 2018","32,100","31,300","32,350","31,150","2.80M","2.72%"
"Dec 07, 2018","31,250","30,800","31,450","30,550","1.91M","1.63%"
"Dec 06, 2018","30,750","30,900","30,950","30,350","1.19M","0.16%"
"Dec 05, 2018","30,700","30,300","30,850","30,100","1.46M","0.33%"
"Dec 04, 2018","30,600","30,000","30,800","30,000","1.87M","2.86%"
"Dec 03, 2018","29,750","29,850","30,200","29,650","1.49M","0.17%"
"Nov 30, 2018","29,700","30,200","30,450","29,450","2.26M","-2.30%"
"Nov 29, 2018","30,400","30,800","30,850","30,150","1.41M","-1.30%"
"Nov 28, 2018","30,800","30,050","30,900","29,750","2.03M","3.18%"
"Nov 27, 2018","29,850","29,200","30,250","28,900","2.39M","1.88%"
"Nov 26, 2018","29,300","28,050","29,450","28,000","2.25M","4.64%"
"Nov 25, 2018","28,000","28,000","28,000","28,000","-","1.45%"
"Nov 23, 2018","27,600","28,200","28,250","27,300","767.72K","-2.13%"
"Nov 22, 2018","28,200","28,550","28,550","27,750","668.85K","0.00%"
"Nov 21, 2018","28,200","28,200","28,250","27,700","981.07K","0.89%"
"Nov 20, 2018","27,950","27,450","27,950","27,350","1.14M","2.19%"
"Nov 19, 2018","27,350","28,000","28,150","27,250","1.07M","-2.50%"
"Nov 18, 2018","28,050","27,900","28,050","27,900","-","0.36%"
"Nov 16, 2018","27,950","27,950","28,150","27,600","1.01M","0.36%"
"Nov 15, 2018","27,850","28,700","29,000","27,850","1.32M","-2.62%"
"Nov 14, 2018","28,600","28,050","28,950","27,850","2.81M","4.57%"
"Nov 13, 2018","27,350","27,550","27,600","27,150","610.31K","-0.73%"
"Nov 12, 2018","27,550","28,200","28,450","27,250","1.04M","-2.48%"
"Nov 11, 2018","28,250","28,150","28,300","28,150","-","0.36%"
"Nov 09, 2018","28,150","27,450","28,250","27,350","1.36M","2.55%"
"Nov 08, 2018","27,450","27,300","27,650","26,900","1.42M","0.92%"
"Nov 07, 2018","27,200","26,700","27,450","26,550","1.32M","1.68%"
"Nov 06, 2018","26,750","27,000","27,100","26,500","920.60K","-1.29%"
"Nov 05, 2018","27,100","26,550","27,100","26,350","1.06M","1.88%"
"Nov 02, 2018","26,600","26,750","27,050","26,450","1.51M","-1.12%"
"Nov 01, 2018","26,900","27,150","27,200","26,450","1.09M","-0.74%"
"Oct 31, 2018","27,100","26,250","27,100","26,050","1.49M","3.24%"
"Oct 30, 2018","26,250","26,500","27,450","26,200","1.43M","-3.14%"
"Oct 29, 2018","27,100","27,950","28,300","26,500","1.53M","-0.73%"
"Oct 26, 2018","27,300","28,050","28,400","27,050","1.63M","-2.67%"
"Oct 25, 2018","28,050","27,150","28,400","27,000","3.29M","2.37%"
"Oct 24, 2018","27,400","26,600","27,850","26,450","2.84M","4.18%"
"Oct 23, 2018","26,300","27,500","27,500","26,100","1.51M","-4.54%"
"Oct 22, 2018","27,550","27,000","27,750","26,900","1.15M","2.04%"
"Oct 21, 2018","27,000","27,000","27,000","27,000","-","0.37%"
"Oct 19, 2018","26,900","26,150","27,350","26,050","2.81M","2.87%"
"Oct 18, 2018","26,150","25,550","26,550","25,150","1.69M","2.55%"
"Oct 17, 2018","25,500","25,200","25,500","24,900","682.54K","2.20%"
"Oct 16, 2018","24,950","25,200","25,450","24,650","1.07M","-0.40%"
"Oct 15, 2018","25,050","24,600","25,550","24,600","1.48M","1.21%"
"Oct 14, 2018","24,750","24,750","24,750","24,750","-","0.00%"
"Oct 12, 2018","24,750","23,950","24,850","23,950","1.96M","3.77%"
"Oct 11, 2018","23,850","24,500","24,900","23,850","3.16M","-5.73%"
"Oct 10, 2018","25,300","26,100","26,150","25,200","2.33M","-3.98%"
"Oct 09, 2018","26,350","26,350","26,350","26,350","-","0.00%"
"Oct 08, 2018","26,350","27,000","27,300","26,300","1.81M","-2.95%"
"Oct 07, 2018","27,150","27,150","27,150","27,150","-","0.00%"
"Oct 05, 2018","27,150","27,300","27,900","26,800","1.45M","-1.09%"
"Oct 04, 2018","27,450","28,700","28,700","27,250","2.18M","-3.85%"
"Oct 03, 2018","28,550","28,550","28,550","28,550","-","0.00%"
"Oct 02, 2018","28,550","29,200","29,300","28,550","1.21M","-2.73%"
"Oct 01, 2018","29,350","29,250","29,550","29,200","594.43K","0.00%"
"Sep 30, 2018","29,350","29,350","29,350","29,350","-","0.00%"
"Sep 28, 2018","29,350","29,050","29,400","29,050","1.04M","1.38%"
"Sep 27, 2018","28,950","28,700","29,000","28,650","1.28M","0.70%"
"Sep 26, 2018","28,750","28,750","28,750","28,750","-","0.00%"
"Sep 21, 2018","28,750","28,900","29,000","28,650","1.32M","0.17%"
"Sep 20, 2018","28,700","28,850","29,100","28,650","1.18M","-0.86%"
"Sep 19, 2018","28,950","29,500","29,600","28,750","1.75M","-1.86%"
